model,entity_type,precision,recall,f1,support
BiLSTM,IBAN,0.9316770186335404,0.9554140127388535,0.9433962264150944,157
BiLSTM,IPADDRESS,0.9735449735449735,0.989247311827957,0.9813333333333333,558
BiLSTM,JOBAREA,0.9487179487179487,0.9736842105263158,0.9610389610389611,228
BiLSTM,JOBTITLE,0.8082706766917294,0.8921161825726142,0.8481262327416174,241
BiLSTM,JOBTYPE,0.8324324324324325,0.7897435897435897,0.8105263157894738,195
BiLSTM,LASTNAME,0.9646017699115044,0.9316239316239316,0.9478260869565217,351
BiLSTM,LITECOINADDRESS,0.8235294117647058,0.875,0.8484848484848485,64
BiLSTM,MAC,0.9880952380952381,0.9651162790697675,0.9764705882352942,86
BiLSTM,MASKEDNUMBER,0.7560975609756098,0.7654320987654321,0.7607361963190185,162
BiLSTM,MIDDLENAME,0.8341463414634146,0.8769230769230769,0.855,195
BiLSTM,NEARBYGPSCOORDINATE,1.0,1.0,1.0,127
BiLSTM,ORDINALDIRECTION,0.9397590361445783,0.8764044943820225,0.9069767441860466,89
BiLSTM,PASSWORD,0.8888888888888888,0.9312169312169312,0.9095607235142118,189
BiLSTM,PHONEIMEI,0.9763779527559056,1.0,0.9880478087649402,124
BiLSTM,PHONENUMBER,0.9593908629441624,0.9642857142857143,0.9618320610687023,196
BiLSTM,PIN,0.7971014492753623,0.8870967741935484,0.8396946564885496,62
BiLSTM,PREFIX,0.8937728937728938,0.9494163424124513,0.920754716981132,257
BiLSTM,SECONDARYADDRESS,0.9393939393939394,0.950920245398773,0.9451219512195123,163
BiLSTM,SEX,0.8685714285714285,0.9440993788819876,0.9047619047619048,161
BiLSTM,STATE,0.9863013698630136,0.9863013698630136,0.9863013698630136,219
BiLSTM,STREET,0.9949494949494949,1.0,0.9974683544303797,197
BiLSTM,TIME,0.9313304721030042,0.9434782608695652,0.937365010799136,230
BiLSTM,URL,0.9773755656108597,0.9863013698630136,0.9818181818181817,219
BiLSTM,USERAGENT,0.9705882352941176,0.9763313609467456,0.9734513274336284,169
BiLSTM,USERNAME,0.8702928870292888,0.896551724137931,0.8832271762208069,232
BiLSTM,VEHICLEVIN,0.9710144927536232,0.9571428571428572,0.9640287769784173,70
BiLSTM,VEHICLEVRM,0.8701298701298701,0.9178082191780822,0.8933333333333333,73
BiLSTM,ZIPCODE,0.9536082474226805,0.9788359788359788,0.9660574412532638,189
BiLSTM-CRF,ACCOUNTNAME,0.9831223628691983,0.9957264957264957,0.9893842887473461,234
BiLSTM-CRF,ACCOUNTNUMBER,0.9920948616600791,0.9920948616600791,0.9920948616600791,253
BiLSTM-CRF,AGE,0.9217877094972067,0.9482758620689655,0.9348441926345609,174
BiLSTM-CRF,AMOUNT,0.9537815126050421,0.9578059071729957,0.9557894736842105,237
BiLSTM-CRF,BIC,0.9454545454545454,0.9122807017543859,0.9285714285714285,57
BiLSTM-CRF,BITCOINADDRESS,0.9560439560439561,0.9720670391061452,0.96398891966759,179
BiLSTM-CRF,BUILDINGNUMBER,0.9227467811158798,0.9513274336283186,0.9368191721132897,226
BiLSTM-CRF,CCCD,0.9716312056737588,0.9856115107913669,0.9785714285714285,139
BiLSTM-CRF,CITY,0.9754901960784313,0.9754901960784313,0.9754901960784313,204
BiLSTM-CRF,COMPANYNAME,0.8783068783068783,0.8645833333333334,0.8713910761154855,192
BiLSTM-CRF,COUNTY,0.9865470852017937,0.995475113122172,0.990990990990991,221
BiLSTM-CRF,CREDITCARDCVV,0.9655172413793104,0.9333333333333333,0.9491525423728815,60
BiLSTM-CRF,CREDITCARDISSUER,0.9626168224299065,0.9626168224299065,0.9626168224299065,107
BiLSTM-CRF,CREDITCARDNUMBER,0.8222222222222222,0.896969696969697,0.8579710144927536,165
BiLSTM-CRF,CURRENCY,0.9554140127388535,0.974025974025974,0.9646302250803858,154
BiLSTM-CRF,CURRENCYCODE,0.84375,0.8307692307692308,0.8372093023255814,65
BiLSTM-CRF,CURRENCYNAME,0.9846153846153847,0.9846153846153847,0.9846153846153847,65
BiLSTM-CRF,CURRENCYSYMBOL,0.9108910891089109,0.934010152284264,0.9223057644110276,197
BiLSTM-CRF,DATE,0.8217270194986073,0.8858858858858859,0.8526011560693642,333
BiLSTM-CRF,DOB,0.7763157894736842,0.6629213483146067,0.7151515151515152,178
BiLSTM-CRF,EMAIL,0.9865771812080537,0.9932432432432432,0.9898989898989898,296
BiLSTM-CRF,ETHEREUMADDRESS,0.9819819819819819,0.9819819819819819,0.9819819819819819,111
BiLSTM-CRF,EYECOLOR,1.0,1.0,1.0,64
BiLSTM-CRF,FIRSTNAME,0.9593657086223984,0.9334619093539055,0.946236559139785,1037
BiLSTM-CRF,GENDER,0.9640718562874252,0.9877300613496932,0.9757575757575757,163
BiLSTM-CRF,HEIGHT,0.9814814814814815,0.9814814814814815,0.9814814814814815,54
BiLSTM-CRF,IBAN,0.94375,0.9617834394904459,0.9526813880126183,157
BiLSTM-CRF,IPADDRESS,0.9910233393177738,0.989247311827957,0.9901345291479822,558
BiLSTM-CRF,JOBAREA,0.9572649572649573,0.9824561403508771,0.9696969696969696,228
BiLSTM-CRF,JOBTITLE,0.8645418326693227,0.9004149377593361,0.8821138211382115,241
BiLSTM-CRF,JOBTYPE,0.8518518518518519,0.8256410256410256,0.8385416666666666,195
BiLSTM-CRF,LASTNAME,0.9650145772594753,0.9430199430199431,0.9538904899135447,351
BiLSTM-CRF,LITECOINADDRESS,0.9672131147540983,0.921875,0.944,64
BiLSTM-CRF,MAC,0.9883720930232558,0.9883720930232558,0.9883720930232558,86
BiLSTM-CRF,MASKEDNUMBER,0.9047619047619048,0.8209876543209876,0.86084142394822,162
BiLSTM-CRF,MIDDLENAME,0.8269230769230769,0.882051282051282,0.8535980148883374,195
BiLSTM-CRF,NEARBYGPSCOORDINATE,1.0,1.0,1.0,127
BiLSTM-CRF,ORDINALDIRECTION,0.9506172839506173,0.8651685393258427,0.9058823529411766,89
BiLSTM-CRF,PASSWORD,0.9576719576719577,0.9576719576719577,0.9576719576719578,189
BiLSTM-CRF,PHONEIMEI,0.9841269841269841,1.0,0.9919999999999999,124
BiLSTM-CRF,PHONENUMBER,0.9846153846153847,0.9795918367346939,0.9820971867007673,196
BiLSTM-CRF,PIN,0.9508196721311475,0.9354838709677419,0.943089430894309,62
BiLSTM-CRF,PREFIX,0.9368029739776952,0.980544747081712,0.9581749049429658,257
BiLSTM-CRF,SECONDARYADDRESS,0.950920245398773,0.950920245398773,0.950920245398773,163
BiLSTM-CRF,SEX,0.8786127167630058,0.9440993788819876,0.9101796407185628,161
BiLSTM-CRF,STATE,0.9819819819819819,0.9954337899543378,0.9886621315192743,219
BiLSTM-CRF,STREET,0.9848484848484849,0.9898477157360406,0.9873417721518988,197
BiLSTM-CRF,TIME,0.9439655172413793,0.9521739130434783,0.948051948051948,230
BiLSTM-CRF,URL,0.9954337899543378,0.9954337899543378,0.9954337899543378,219
BiLSTM-CRF,USERAGENT,0.9881656804733728,0.9881656804733728,0.9881656804733728,169
BiLSTM-CRF,USERNAME,0.944206008583691,0.9482758620689655,0.946236559139785,232
BiLSTM-CRF,VEHICLEVIN,0.9855072463768116,0.9714285714285714,0.9784172661870504,70
BiLSTM-CRF,VEHICLEVRM,0.9594594594594594,0.9726027397260274,0.9659863945578231,73
BiLSTM-CRF,ZIPCODE,0.9736842105263158,0.9788359788359788,0.9762532981530344,189
PhoBERT,ACCOUNTNAME,0.9789029535864979,0.9914529914529915,0.9851380042462845,234
PhoBERT,ACCOUNTNUMBER,0.9920948616600791,0.9920948616600791,0.9920948616600791,253
PhoBERT,AGE,0.9707602339181286,0.9540229885057471,0.9623188405797101,174
PhoBERT,AMOUNT,0.9872881355932204,0.9831223628691983,0.985200845665962,237
PhoBERT,BIC,0.9827586206896551,1.0,0.9913043478260869,57
PhoBERT,BITCOINADDRESS,0.9779005524861878,0.9888268156424581,0.9833333333333334,179
PhoBERT,BUILDINGNUMBER,0.990990990990991,0.9734513274336283,0.9821428571428571,226
PhoBERT,CCCD,0.9927007299270073,0.9784172661870504,0.9855072463768116,139
PhoBERT,CITY,0.9852941176470589,0.9852941176470589,0.9852941176470589,204
PhoBERT,COMPANYNAME,0.934010152284264,0.9583333333333334,0.9460154241645244,192
PhoBERT,COUNTY,0.9910313901345291,1.0,0.9954954954954954,221
PhoBERT,CREDITCARDCVV,0.9523809523809523,1.0,0.975609756097561,60
